id,title,type,year,url,screen_stage,category,directness,include_exclude,reason,inspected_depth,notes
P15,Lang2LTL: Translating NL Commands to Temporal Robot Task Specification,paper,2023,https://arxiv.org/abs/2302.11649,deep_review,NL→temporal_logic,far-adjacent,include,NL→LTL for robot navigation. 2125 unique LTL formulas dataset,full_paper,CoRL 2023. Largest NL→LTL dataset (40x previous). Modular pipeline.
P16,nl2spec: Interactively Translating Unstructured NL to Temporal Logics with LLMs,paper,2023,https://link.springer.com/chapter/10.1007/978-3-031-37703-7_18,deep_review,NL→temporal_logic,adjacent,include,Interactive NL→temporal logic with LLM subformula decomposition,full_paper,CAV 2023. 36 expert-crafted benchmark instances. Subformula mapping approach.
P17,SpecGen: Automated Generation of Formal Program Specifications via LLMs,paper,2025,https://arxiv.org/abs/2401.08807,deep_review,spec_generation,adjacent,include,Two-phase LLM spec generation with verification feedback loop,full_paper,ICSE 2025. 279/385 programs verified. Mutation operators for repair. Outperforms Houdini/Daikon.
P18,DafnyBench: A Benchmark for Formal Software Verification,paper,2024,https://github.com/sun-wendy/DafnyBench,deep_review,benchmark,far-adjacent,include,750+ Dafny programs benchmark. LLM annotation generation,full_paper,53K LOC. LLM progress 68%→96%. Largest formal verification benchmark.
P19,dafny-annotator: AI-Assisted Verification for Dafny,paper,2025,https://dafny.org/blog/2025/06/21/dafny-annotator/,abstract_review,verification_tool,far-adjacent,include,Multi-model LLM approach for Dafny annotation. 98.2% success,blog_post,Claude Opus 4.5 + GPT-5.2. 8 repair iterations max. Secondary evidence (blog).
P20,Agentic Program Verification,paper,2025,https://arxiv.org/abs/2511.17330,abstract_review,verification,far-adjacent,include,Iterative proof improvement with Rocq theorem prover feedback,abstract+methods,Agentic LLM + verifier loop. Transferable technique for TLA+.
P21,CLEVER: A Curated Benchmark for Formally Verified Code Generation,paper,2025,https://arxiv.org/abs/2505.13938,abstract_review,benchmark,far-adjacent,include,Benchmark for verified code generation across multiple languages,abstract+methods,Multi-language formal verification benchmark.
P22,Grammar-Constrained Decoding Makes LLMs Better Logical Parsers,paper,2025,https://aclanthology.org/2025.acl-industry.34/,deep_review,constrained_decoding,adjacent,include,GCD improves syntactic correctness and semantic accuracy for logical parsing,full_paper,ACL Industry 2025. Substitute for in-context examples. Applicable to TLA+ syntax enforcement.
P23,Grammar-Aligned Decoding,paper,2024,https://proceedings.neurips.cc/paper_files/paper/2024/file/2bdc2267c3d7d01523e2e17ac0a754f3-Paper-Conference.pdf,abstract_review,constrained_decoding,far-adjacent,include,Provably preserves conditional probability under grammar constraints,abstract+methods,NeurIPS 2024. Theoretical foundation for constrained decoding.
P24,The 4/δ Bound: Designing Predictable LLM-Verifier Systems,paper,2025,https://arxiv.org/abs/2512.02080,abstract_review,theory,far-adjacent,include,First formal convergence guarantees for LLM-verifier loops,abstract+methods,Theoretical foundation for iterative refinement pipelines.
P25,PREFACE: RL Framework for Code Verification via LLM Prompt Repair,paper,2025,https://dl.acm.org/doi/10.1145/3716368.3735300,abstract_review,verification,far-adjacent,include,RL agent selects corrective prompts. Up to 21% verification improvement,abstract+methods,GLSVLSI 2025. Error-guided prompt refinement.
P26,Improving Auto-Formalization to UCLID5 with LLMs and Formal Methods,paper,2025,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2025/EECS-2025-115.pdf,abstract_review,NL→formal_spec,adjacent,include,Auto-formalization to UCLID5 verification language,abstract+intro,Berkeley tech report. UCLID5 is a formal methods language with some TLA+ overlap.
P27,VeriCoding: A Benchmark for Verified Program Synthesis,paper,2025,https://arxiv.org/abs/2509.22908,abstract_review,benchmark,far-adjacent,include,Benchmark for formally verified program synthesis,abstract+methods,4715 problems with specifications.
R01,Formal verification of generated code by LLMs,tech_report,2024,https://www.lrde.epita.fr/www/dload-new/techreps/2024-07-01.techrep.andy-shan.pdf,abstract_review,verification,far-adjacent,include,LLMs insufficient for TLA+/PlusCal. Cannot produce parsable output,full_report,Tested Llama3/Phi3/CodeCopilot/Mistral/CodeLlama. All failed on TLA+.
